instance_id,n,scenario,time_scratch_sec,time_warm_sec,iter_scratch,iter_warm,speedup,status_scratch,status_warm
55,47,capacity,0.0007256000008055707,3.2300000384566374e-05,19,1,22.4643960423071,optimal,optimal
55,47,value,0.0006612999986828072,5.300000339047983e-06,16,0,124.77357667520333,optimal,optimal
55,47,volume,0.00041929999861167744,8.040000102482736e-05,16,0,5.215174045609756,optimal,optimal
56,16,capacity,0.00027349999982106965,2.5800000003073364e-05,6,1,10.600775185600373,optimal,optimal
56,16,value,0.00019840000095427968,2.099999983329326e-05,7,1,9.44761916806007,optimal,optimal
56,16,volume,0.0001413000009051757,3.119999928458128e-05,6,0,4.528846286705035,optimal,optimal
57,10,capacity,0.00012029999925289303,6.199999916134402e-06,4,0,19.403225948412285,optimal,optimal
57,10,value,0.00011689999882946722,3.7999998312443495e-06,4,0,30.763158952874768,optimal,optimal
57,10,volume,9.250000039173756e-05,2.879999919969123e-05,4,0,3.2118056584088124,optimal,optimal
58,31,capacity,0.00041200000123353675,2.629999835335184e-05,12,1,15.665400267260049,optimal,optimal
58,31,value,0.00038860000131535344,4.400000761961564e-06,12,0,88.31816682279657,optimal,optimal
58,31,volume,0.00026640000032784883,3.650000144261867e-05,12,0,7.298629857498881,optimal,optimal
59,28,capacity,0.0006408000008377712,2.840000161086209e-05,23,1,22.563379031383075,optimal,optimal
59,28,value,0.0005206999994697981,6.70000008540228e-06,21,0,77.71641684069236,optimal,optimal
59,28,volume,0.00036049999835086055,0.0002462999982526526,18,11,1.4636622042565446,optimal,optimal
60,20,capacity,0.0004662000010284828,2.350000067963265e-05,23,1,19.838297342371416,optimal,optimal
60,20,value,0.0004735000002256129,3.5799999750452116e-05,23,2,13.226257081737357,optimal,optimal
60,20,volume,0.00047559999984514434,0.0002949999998236308,21,12,1.6122033902694488,optimal,optimal
61,5,capacity,9.780000073078554e-05,8.600000001024455e-06,4,0,11.372093106876203,optimal,optimal
61,5,value,9.930000123858918e-05,6.199999916134402e-06,4,0,16.01612944867604,optimal,optimal
61,5,volume,5.609999971056823e-05,7.750000077066943e-05,2,3,0.7238709568090711,optimal,optimal
62,32,capacity,0.0006432999998651212,2.4900000425986946e-05,27,1,25.835340918056357,optimal,optimal
